subsite,day,year,count
MC,104,2018,1
MC,105,2018,2
MC,106,2018,2
MC,106,2023,2
MC,107,2022,2
MC,112,2021,1
MC,112,2023,3
MC,113,2021,1
MC,114,2019,1
MC,116,2022,1
MC,117,2018,1
MC,118,2022,2
MC,119,2019,2
MC,120,2018,1
MC,121,2018,1
MC,121,2020,1
MC,122,2019,2
MC,123,2018,1
MC,123,2019,1
MC,123,2023,2
MC,124,2021,1
MC,125,2019,3
MC,126,2019,1
MC,128,2023,1
MC,130,2019,1
MC,133,2019,1
MC,133,2021,1
MC,134,2021,1
MC,140,2023,1
MC,144,2019,1
BL,85,2023,1
BL,185,2022,1
DE,112,2021,1
DE,113,2022,1
DE,126,2021,1
