date,subsite,time,age,count,year
2010-03-01T00:00:00Z,BL,17:00:00,adult,91,2010
2010-03-06T00:00:00Z,BL,11:35:00,adult,71,2010
2010-03-06T00:00:00Z,DE,10:45:00,adult,250,2010
2010-03-08T00:00:00Z,BL,13:00:00,adult,68,2010
2010-03-08T00:00:00Z,DE,13:40:00,adult,105,2010
2010-03-09T00:00:00Z,DP,13:35:00,adult,153,2010
2010-03-09T00:00:00Z,DP,13:35:00,pup,1,2010
2010-03-19T00:00:00Z,DE,09:25:00,adult,163,2010
2010-03-19T00:00:00Z,DE,09:25:00,pup,1,2010
2010-03-20T00:00:00Z,BL,10:30:00,adult,46,2010
2010-03-20T00:00:00Z,DP,11:15:00,adult,97,2010
2010-03-20T00:00:00Z,DP,11:15:00,pup,3,2010
2010-03-22T00:00:00Z,BL,13:15:00,adult,126,2010
2010-03-23T00:00:00Z,DP,13:30:00,adult,161,2010
2010-03-23T00:00:00Z,DP,13:30:00,pup,4,2010
2010-03-24T00:00:00Z,DE,14:15:00,adult,310,2010
2010-03-24T00:00:00Z,DE,14:15:00,pup,5,2010
2010-03-27T00:00:00Z,DE,16:00:00,adult,225,2010
2010-03-27T00:00:00Z,DE,16:00:00,pup,2,2010
2010-03-28T00:00:00Z,DP,14:25:00,adult,107,2010
2010-03-28T00:00:00Z,DP,14:25:00,pup,5,2010
2010-04-01T00:00:00Z,DE,09:55:00,adult,332,2010
2010-04-01T00:00:00Z,DE,09:55:00,pup,9,2010
2010-04-02T00:00:00Z,BL,10:35:00,adult,34,2010
2010-04-02T00:00:00Z,BL,10:35:00,pup,5,2010
2010-04-03T00:00:00Z,DP,12:00:00,adult,227,2010
2010-04-03T00:00:00Z,DP,12:00:00,pup,12,2010
2010-04-05T00:00:00Z,DE,13:00:00,adult,353,2010
2010-04-05T00:00:00Z,DE,13:00:00,pup,20,2010
2010-04-08T00:00:00Z,BL,15:55:00,adult,201,2010
2010-04-08T00:00:00Z,BL,15:55:00,pup,14,2010
2010-04-08T00:00:00Z,DP,13:45:00,adult,270,2010
2010-04-08T00:00:00Z,DP,13:45:00,pup,56,2010
2010-04-10T00:00:00Z,DE,15:40:00,adult,289,2010
2010-04-10T00:00:00Z,DE,15:40:00,pup,22,2010
2010-04-10T00:00:00Z,DP,16:00:00,adult,264,2010
2010-04-10T00:00:00Z,DP,16:00:00,pup,54,2010
2010-04-15T00:00:00Z,BL,10:05:00,adult,189,2010
2010-04-15T00:00:00Z,BL,10:05:00,pup,85,2010
2010-04-15T00:00:00Z,DE,09:55:00,adult,472,2010
2010-04-15T00:00:00Z,DE,09:55:00,pup,63,2010
2010-04-17T00:00:00Z,DE,11:10:00,adult,462,2010
2010-04-17T00:00:00Z,DE,11:10:00,pup,74,2010
2010-04-17T00:00:00Z,DP,09:15:00,adult,194,2010
2010-04-17T00:00:00Z,DP,09:15:00,pup,88,2010
2010-04-19T00:00:00Z,DP,12:46:00,adult,329,2010
2010-04-19T00:00:00Z,DP,12:46:00,pup,136,2010
2010-04-21T00:00:00Z,DE,14:00:00,adult,389,2010
